user_id,name
1,Цветков Викентий Аксёнович
2,Гришина Лора Анатольевна
3,Евдокия Валентиновна Терентьева
4,Фаина Эдуардовна Одинцова
5,г-жа Стрелкова Алина Натановна
6,Зинаида Тимофеевна Пономарева
7,Фомина Марфа Романовна
8,Василиса Игоревна Жукова
9,Рубен Чеславович Смирнов
10,Поликарп Вячеславович Фокин
11,Щербакова Акулина Юрьевна
12,Стоян Антонович Медведев
13,Герман Ефстафьевич Евсеев
14,Моисеева Агата Афанасьевна
15,Уваров Герасим Даниилович
16,Никанор Федотович Панфилов
17,Ираида Олеговна Ильина
18,Карпов Яков Абрамович
19,Одинцова Антонина Евгеньевна
20,Александра Анатольевна Горбачева
21,Лобанов Кир Владленович
22,Нина Эльдаровна Веселова
23,Егоров Андрей Андреевич
24,Ираида Степановна Быкова
25,Ксения Дмитриевна Панова
26,Леонид Феодосьевич Маслов
27,Парфен Авдеевич Тетерин
28,Эмилия Аскольдовна Федотова
29,Авдей Гаврилович Козлов
30,Елисей Аксёнович Прохоров
31,Устин Демьянович Гаврилов
32,Ксения Руслановна Титова
33,Никифоров Влас Иосипович
34,Евсей Викентьевич Дмитриев
35,Костин Варфоломей Федосеевич
36,Стрелков Денис Алексеевич
37,Боброва Алла Архиповна
38,Антонова Ирина Альбертовна
39,тов. Русаков Арсений Елизарович
40,Козлова Ангелина Феликсовна
41,Ирина Архиповна Кошелева
42,Федоров Харлампий Анатольевич
43,Галина Тимофеевна Кузнецова
44,Олимпиада Тимуровна Кошелева
45,Шаров Гремислав Яковлевич
46,Эмилия Валериевна Денисова
47,Комиссарова Антонина Даниловна
48,Георгий Игнатович Ефремов
49,Дементьева Валерия Николаевна
50,Варвара Харитоновна Романова
51,Дмитрий Арсеньевич Лаврентьев
52,Яков Захарьевич Доронин
53,тов. Горбачев Милен Георгиевич
54,Парфен Ефстафьевич Субботин
55,Красильников Радим Юльевич
56,Савватий Фёдорович Рыбаков
57,Лобанова Екатерина Матвеевна
58,Попова Фёкла Ильинична
59,Михаил Давыдович Вишняков
60,Фокин Иосиф Изотович
61,Алина Оскаровна Осипова
62,Елена Андреевна Большакова
63,Якушева Кира Михайловна
64,Шашкова Наина Юльевна
65,Волкова Клавдия Ивановна
66,Рыбаков Любим Трифонович
67,Агата Макаровна Гришина
68,Юдина Полина Ивановна
69,Бобров Тихон Тимурович
70,Варлаам Филатович Антонов
71,Дементьев Азарий Фокич
72,Маргарита Тарасовна Гусева
73,Силина Майя Харитоновна
74,Щукин Макар Харлампьевич
75,Блинова Зинаида Святославовна
76,Татьяна Игоревна Гущина
77,Евсей Даниилович Белов
78,Бобров Ким Зиновьевич
79,Матвеева Валентина Геннадьевна
80,Никодим Викторович Елисеев
81,Гришина Алла Андреевна
82,Евпраксия Артемовна Одинцова
83,Ермаков Эмиль Гавриилович
84,Крюков Остромир Игнатьевич
85,Котова Глафира Тарасовна
86,Кулакова Евфросиния Владимировна
87,Тамара Романовна Доронина
88,Мельникова Евпраксия Станиславовна
89,Евлампий Феоктистович Русаков
90,София Валериевна Воробьева
91,Максимов Ким Афанасьевич
92,Лобанова Елизавета Егоровна
93,Беляева Алина Эдуардовна
94,Василиса Ильинична Дмитриева
95,Григорьева Елена Ивановна
96,Мишина Алевтина Феликсовна
97,Поляков Евдоким Феликсович
98,Блинова Наталья Геннадьевна
99,Дмитриева Марина Львовна
100,Лора Аскольдовна Одинцова
101,Октябрина Ждановна Яковлева
102,Елена Наумовна Морозова
103,Зоя Филипповна Гущина
104,Зимина Фёкла Ефимовна
105,Фаина Андреевна Дроздова
106,Зоя Олеговна Чернова
107,Сидорова Агафья Феликсовна
108,Титов Карл Егорович
109,Ильина Элеонора Александровна
110,Рогова Ия Семеновна
111,Овчинников Дорофей Юльевич
112,Родионова Жанна Альбертовна
113,Вишнякова Агафья Федоровна
114,Дьячков Терентий Харлампович
115,Варвара Антоновна Денисова
116,Филатов Федосий Виленович
117,Аксенова Надежда Матвеевна
118,Фрол Анатольевич Носков
119,Алина Матвеевна Соболева
120,Евдокия Кузьминична Горшкова
121,Прохорова Ираида Альбертовна
122,Нонна Ильинична Муравьева
123,Дроздов Макар Марсович
124,Рыбаков Ананий Гаврилович
125,Фаина Юрьевна Комиссарова
126,Ия Ефимовна Овчинникова
127,Мария Кузьминична Шарапова
128,Калашникова Милица Вадимовна
129,Кулакова Нинель Леонидовна
130,Ярослав Эдгардович Архипов
131,Беляков Гостомысл Дмитриевич
132,Валерия Михайловна Александрова
133,Агафон Демьянович Лыткин
134,Исай Ааронович Князев
135,Самуил Давидович Лапин
136,Лучезар Авдеевич Крюков
137,Нифонт Абрамович Баранов
138,Артемьева Александра Дмитриевна
139,Мясникова Евпраксия Кирилловна
140,Котова Иванна Тимофеевна
141,Тарас Еремеевич Ермаков
142,Лора Валентиновна Лобанова
143,Анжела Ивановна Полякова
144,Ирина Алексеевна Шубина
145,Эмилия Валериевна Громова
146,Медведев Пантелеймон Терентьевич
147,Варвара Игоревна Прохорова
148,Денисова Дарья Леонидовна
149,Фомина Жанна Натановна
150,Белоусова Анжела Викторовна
